voyageid,yearam,rig,shipname,captaina,slaximp,mjselimp,tslavesd,arrport,sla1port,slaarriv,sladvoy,vymrtimp,vymrtrat,slamimp,fate,fate2,fate3,fate4,sladamer,adpsale1,adpsale2,captainb,placcons,placreg,yrcons,yrreg,regarr,regdis1,regdis2,regdis3,regem1,regem2,regisreg,constreg,portdep,datedepa,datedepb,datedepc,crew,crew2,crew3,d1slatra,d1slatrb,d1slatrc,datarr32,datarr33,datarr34,datarr36,datarr37,datarr38,datarr39,datarr40,datarr41,date_buy1,date_leftafr,date_land1,date_land2,date_land3,dlslatra,dlslatrb,dlslatrc,voyage,voy2imp,guns,majbuypt,mjbyptimp,majbyimp,majbyimp1,majselpt,mjslptimp,mjselimp1,national,natinimp,ncar13,ncar15,npprior,ownera,ownerb,ownerc,ownerd,ownere,ownerf,ownerg,ownerh,resistance,slas32,slas36,slas39,sourcea,sourceb,sourcec,sourced,sourcee,tonnage,men1,women1,boy1,girl1,infant1,adult1,child1,male1,female1,adlt1imp,chil1imp,male1imp,feml1imp,slavema1,slavemx1,slavmax1,menrat1,womrat1,boyrat1,girlrat1,malrat1,chilrat1,men3,women3,boy3,girl3,infant3,adult3,child3,male3,female3,adlt3imp,chil3imp,male3imp,feml3imp,slavema3,slavemx3,slavmax3,menrat3,womrat3,boyrat3,girlrat3,malrat3,chilrat3,men7,women7,boy7,girl7,infant7,adult7,child7,male7,female7,slavema7,slavemx7,slavmax7,menrat7,womrat7,boyrat7,girlrat7,malrat7,chilrat7,year5,year10,year25,year100,voyageID2,AFRINFO,Other_Cargo,COMMENTS,filter_$
106736,1789,Brig,Cornwallace,"Nixon, Thomas",3,North Carolina, , ,Beaufort (NC),2, , , ,2,Sold slaves in Americas - subsequent fate unknown,Slaves disembarked Americas,Not captured,Delivered slaves for original owners, , , , , , , , , ,North Carolina, , ,Jamaica, , , , , , , , , , , , , ,18,5,1789, , , , , , , , ,5/18/1789, , , , , , , , ,"Jamaica, port unspecified","Jamaica, port unspecified",Jamaica,Caribbean,Beaufort (NC),Beaufort (NC),Mainland North America, ,USA, , , ,"McKinlay, James", , , , , , , , , , , ,"Minchinton, 54",McMillin, , , ,168, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,years 1786-90,years 1781-91,years 1776-1800,1700, , , , ,Selected
106738,1789,Brig,Nancy,"Hume, Ebenezer",3,North Carolina, , ,Brunswick,2, , , ,2,Sold slaves in Americas - subsequent fate unknown,Slaves disembarked Americas,Not captured,Delivered slaves for original owners, , , , , ,"Antigua, port unspecified", ,1787, ,North Carolina, , ,Jamaica, ,Antigua, , , , , , , , , , , ,28,9,1789, , , , , , , , ,9/28/1789, , , , , , , , ,"Montego Bay, Jamaica","Montego Bay, Jamaica",Jamaica,Caribbean,Brunswick,Brunswick,Mainland North America,Great Britain,Great Britain, , , ,"Deas, Daniel", , , , , , , , , , , ,"Minchinton, 54",McMillin, , , ,72, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,years 1786-90,years 1781-91,years 1776-1800,1700, , , , ,Selected
106739,1789,Sloop,Little Peggy,"Ballenton, Thomas",2,North Carolina, , ,Brunswick,1, , , ,1,Sold slaves in Americas - subsequent fate unknown,Slaves disembarked Americas,Not captured,Delivered slaves for original owners, , , , , ,"Montego Bay, Jamaica", ,1787, ,North Carolina, , ,Jamaica, ,Jamaica, , , , , , , , , , , ,28,9,1789, , , , , , , , ,9/28/1789, , , , , , , , ,"Montego Bay, Jamaica","Montego Bay, Jamaica",Jamaica,Caribbean,Brunswick,Brunswick,Mainland North America,Great Britain,Great Britain, , , ,"Mitchell, John","Mitchell, John Jr.", , , , , , , , , , ,"Minchinton, 54",McMillin, , , ,55, , , , , , , , , , , , , , , , , , , , , , ,1,0,0,0,0, , , , ,1,0,1,0,1,1,1,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1,1,1,1,0,0,0,1,0,years 1786-90,years 1781-91,years 1776-1800,1700, , , , ,Selected
106740,1789,Schooner,New Hope,"Smart, James",4,North Carolina, , ,Brunswick,3, , , ,3,Sold slaves in Americas - subsequent fate unknown,Slaves disembarked Americas,Not captured,Delivered slaves for original owners, , , , , ,"Montego Bay, Jamaica", ,1786, ,North Carolina, , ,Jamaica, ,Jamaica, , , , , , , , , , , ,30,3,1789, , , , , , , , ,3/30/1789, , , , , , , , ,"Montego Bay, Jamaica","Montego Bay, Jamaica",Jamaica,Caribbean,Brunswick,Brunswick,Mainland North America,Great Britain,Great Britain, , , ,"Smart, James", , , , , , , , , , , ,"Minchinton, 53-54",McMillin, , , ,130, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,years 1786-90,years 1781-91,years 1776-1800,1700, , , , ,Selected
106742,1789,Sloop,Commerce,"Musson, Robert D",2,North Carolina, , ,Brunswick,1, , , ,1,Sold slaves in Americas - subsequent fate unknown,Slaves disembarked Americas,Not captured,Delivered slaves for original owners, , , , , ,Bermuda, ,1787, ,North Carolina, , ,Jamaica, ,Other British Caribbean, , , , , , , , , , , ,8,1,1789, , , , , , , , ,1/8/1789, , , , , , , , ,"Montego Bay, Jamaica","Montego Bay, Jamaica",Jamaica,Caribbean,Brunswick,Brunswick,Mainland North America,Great Britain,Great Britain, , , , , , , , , , , , , , , ,"Minchinton, 53",McMillin, , , ,134, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,years 1786-90,years 1781-91,years 1776-1800,1700, , , , ,Selected
106743,1789,Schooner,New Hope,"Smart, James",5,North Carolina, , ,Brunswick,4, , , ,4,Sold slaves in Americas - subsequent fate unknown,Slaves disembarked Americas,Not captured,Delivered slaves for original owners, , , , , ,"Montego Bay, Jamaica", ,1787, ,North Carolina, , ,Jamaica, ,Jamaica, , , , , , , , , , , ,14,1,1789, , , , , , , , ,1/14/1789, , , , , , , , ,"Montego Bay, Jamaica","Montego Bay, Jamaica",Jamaica,Caribbean,Brunswick,Brunswick,Mainland North America,Great Britain,Great Britain, , , ,"Smart, James", , , , , , , , , , , ,"Minchinton, 53",McMillin, , , ,130, , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,1, , ,3,1, , ,4, , , , , , , ,.25, , , , , ,3,1, , ,4,0,0, , , , , ,.25,years 1786-90,years 1781-91,years 1776-1800,1700, , , , ,Selected
106744,1789,Schooner,Nancy,"Rundle, Joseph",3,North Carolina, , ,Brunswick,2, , , ,2,Sold slaves in Americas - subsequent fate unknown,Slaves disembarked Americas,Not captured,Delivered slaves for original owners, , , , , ,Halifax, ,1788, ,North Carolina, , ,Jamaica, ,Canada, , , , , , , , , , , ,28,1,1789, , , , , , , , ,1/28/1789, , , , , , , , ,"Montego Bay, Jamaica","Montego Bay, Jamaica",Jamaica,Caribbean,Brunswick,Brunswick,Mainland North America,Great Britain,Great Britain, , , ,"Wallace, Michael", , , , , , , , , , , ,"Minchinton, 53",McMillin, , , ,100, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,years 1786-90,years 1781-91,years 1776-1800,1700, , , , ,Selected
106745,1789,Brig,Eliza,"Goddard, Lemuel",3,North Carolina, , ,Brunswick,2, , , ,2,Sold slaves in Americas - subsequent fate unknown,Slaves disembarked Americas,Not captured,Delivered slaves for original owners, , , , , ,"Montego Bay, Jamaica", ,1787, ,North Carolina, , ,Jamaica, ,Jamaica, , , , , , , , , , , ,4,2,1789, , , , , , , , ,2/4/1789, , , , , , , , ,"Jamaica, port unspecified","Jamaica, port unspecified",Jamaica,Caribbean,Brunswick,Brunswick,Mainland North America,Great Britain,Great Britain, , , ,"Cunningham, John","Cleland, James", , , , , , , , , , ,"Minchinton, 53",McMillin, , , ,119, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,years 1786-90,years 1781-91,years 1776-1800,1700, , , , ,Selected
106747,1789,Sloop,Little Peggy,"Ballenton, Thomas",5,North Carolina, , ,Brunswick,4, , , ,4,Sold slaves in Americas - subsequent fate unknown,Slaves disembarked Americas,Not captured,Delivered slaves for original owners, , , , , ,"Montego Bay, Jamaica", ,1787, ,North Carolina, , ,Jamaica, ,Jamaica, , , , , , , , , , , ,26,1,1789, , , , , , , , ,1/26/1789, , , , , , , , ,"Montego Bay, Jamaica","Montego Bay, Jamaica",Jamaica,Caribbean,Brunswick,Brunswick,Mainland North America,Great Britain,Great Britain, , , ,"Mitchell, John","Mitchell, John Jr.", , , , , , , , , , ,"Minchinton, 53",McMillin, , , ,55, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,years 1786-90,years 1781-91,years 1776-1800,1700, , , , ,Selected
106756,1790,Balandra,Favorecida, ,53,Gulf coast, , ,"Louisiana, port unspecified",51, , , ,51,Sold slaves in Americas - subsequent fate unknown,Slaves disembarked Americas,Not captured,Delivered slaves for original owners, , , , , , , , , ,Gulf coast, , ,Jamaica, , , , , , , , , , , , , , ,6,1790, , , , , , , , , , , , , , , , , ,"Jamaica, port unspecified","Jamaica, port unspecified",Jamaica,Caribbean,"Louisiana, port unspecified","Louisiana, port unspecified",Mainland North America, ,USA, , , , , , , , , , , , , , , ,McMillin, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,years 1786-90,years 1781-91,years 1776-1800,1700, ,African, , ,Selected
106758,1790,Schooner,Charlotte,"Linney, John",3,North Carolina, , ,Brunswick,2, , , ,2,Sold slaves in Americas - subsequent fate unknown,Slaves disembarked Americas,Not captured,Delivered slaves for original owners, , , , , ,Lucea (a) St. Lucea, ,1788, ,North Carolina, , ,Jamaica, ,Jamaica, , , , , , , , , , , ,7,1,1790, , , , , , , , ,1/7/1790, , , , , , , , ,Lucea (a) St. Lucea,Lucea (a) St. Lucea,Jamaica,Caribbean,Brunswick,Brunswick,Mainland North America,Great Britain,Great Britain, , , ,"Patie, John", , , , , , , , , , , ,"Minchinton, 55",McMillin, , , ,84, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,years 1786-90,years 1781-91,years 1776-1800,1700, , , , ,Selected
106766,1790,Schooner,Ann,"Williams, Robert",13,Georgia, , ,Savannah,12, , , ,12,Sold slaves in Americas - subsequent fate unknown,Slaves disembarked Americas,Not captured,Delivered slaves for original owners, , , , , , , , , ,Georgia, , ,Jamaica, , , , , , , , , , , , , ,27,5,1790, , , , , , , , ,5/27/1790, , , , , , , , ,"Jamaica, port unspecified","Jamaica, port unspecified",Jamaica,Caribbean,Savannah,Savannah,Mainland North America, ,USA, , , , , , , , , , , , , , , ,McMillin, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,years 1786-90,years 1781-91,years 1776-1800,1700, , , , ,Selected
106769,1790,Sloop,Little Peggy,"Simpson, Drummond",3,Georgia, , ,Savannah,2, , , ,2,Sold slaves in Americas - subsequent fate unknown,Slaves disembarked Americas,Not captured,Delivered slaves for original owners, , , , , , , , , ,Georgia, , ,Jamaica, , , , , , , , , , , , , ,10,12,1790, , , , , , , , ,12/10/1790, , , , , , , , ,"Jamaica, port unspecified","Jamaica, port unspecified",Jamaica,Caribbean,Savannah,Savannah,Mainland North America, ,USA, , , , , , , , , , , , , , , ,McMillin, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,years 1786-90,years 1781-91,years 1776-1800,1700, , , , ,Selected
106770,1790,Brig,Faulkner,"Cunnain, Matthew",7,Georgia, , ,Savannah,6, , , ,6,Sold slaves in Americas - subsequent fate unknown,Slaves disembarked Americas,Not captured,Delivered slaves for original owners, , , , , , , , , ,Georgia, , ,Jamaica, , , , , , , , , , , , , ,17,12,1790, , , , , , , , ,12/17/1790, , , , , , , , ,"Jamaica, port unspecified","Jamaica, port unspecified",Jamaica,Caribbean,Savannah,Savannah,Mainland North America, ,USA, , , , , , , , , , , , , , , ,McMillin, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,years 1786-90,years 1781-91,years 1776-1800,1700, , , , ,Selected
106789,1795,Schooner,Hazard,"Johnston, Thomas",37,Georgia, , ,Savannah,36, , , ,36,Sold slaves in Americas - subsequent fate unknown,Slaves disembarked Americas,Not captured,Delivered slaves for original owners, , , , , , , , , ,Georgia, , ,Jamaica, , , , , , , , , , , , , ,29,12,1795, , , , , , , , ,12/29/1795, , , , , , , , ,"Jamaica, port unspecified","Jamaica, port unspecified",Jamaica,Caribbean,Savannah,Savannah,Mainland North America, ,USA, , , , , , , , , , , , , , , ,McMillin, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,years 1791-95,years 1791-1800,years 1776-1800,1700, ,African, , ,Selected
106793,1795,Schooner,Syren of Kennebeck,"Lilly, Cowens (a) Converse",95,Jamaica,80,Savanna la Mar (Jamaica),Savanna la Mar (Jamaica),95, , , ,95,Voyage completed as intended,Slaves disembarked Americas,Not captured,Delivered slaves for original owners, , , , , ,"Rhode Island, port unspecified", , ,Jamaica,Jamaica, , ,Jamaica, ,Rhode Island, , , , , , , , , , , ,14,7,1795, , , , , , , , ,7/14/1795, , , , ,1795, , , ,Kingston (Jamaica),Kingston (Jamaica),Jamaica,Caribbean,Savanna la Mar (Jamaica),Savanna la Mar (Jamaica),Caribbean, ,USA, , , ,"Robertson, William","Crosby, George","Lilly, Convirson", , , , , , , , , ,McMillin,"Jamaica Assembly, X, 370", , , ,113, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,years 1791-95,years 1791-1800,years 1776-1800,1700, , , , ,Selected
106795,1795,Schooner,Harmony,"Baldwin, P",20,Georgia, , ,Savannah,19, , , ,19,Sold slaves in Americas - subsequent fate unknown,Slaves disembarked Americas,Not captured,Delivered slaves for original owners, , , , , , , , , ,Georgia, , ,Jamaica, , , , , , , , , , , , , ,7,12,1795, , , , , , , , ,12/7/1795, , , , , , , , ,"Jamaica, port unspecified","Jamaica, port unspecified",Jamaica,Caribbean,Savannah,Savannah,Mainland North America, ,USA, , , , , , , , , , , , , , , ,McMillin, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,years 1791-95,years 1791-1800,years 1776-1800,1700, , , , ,Selected
106796,1796, ,Hazard,"Johnston, Thomas",37,Georgia, , ,Savannah,36, , , ,36,Sold slaves in Americas - subsequent fate unknown,Slaves disembarked Americas,Not captured,Delivered slaves for original owners, , , , , ,Bristol (RI), , , ,Georgia, , ,Jamaica, ,Rhode Island, , , , , , , , , , , ,29,12,1796, , , , , , , , ,12/29/1796, , , , , , , , ,"Jamaica, port unspecified","Jamaica, port unspecified",Jamaica,Caribbean,Savannah,Savannah,Mainland North America, ,USA, , , ,"Johnston, Thomas","McCown, John","Sproul, William", , , , , , , , , ,"Donnan,IV,633",McMillin, , , ,102, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,years 1796-1800,years 1791-1800,years 1776-1800,1700, , , , ,Selected
106797,1796,Brig,Tryal,"Kinner, Hugh",9,Georgia, , ,Savannah,8, , , ,8,Sold slaves in Americas - subsequent fate unknown,Slaves disembarked Americas,Not captured,Delivered slaves for original owners, , , , , , , , , ,Georgia, , ,Jamaica, , , , , , , , , , , , , ,7,1,1796, , , , , , , , ,1/7/1796, , , , , , , , ,"Jamaica, port unspecified","Jamaica, port unspecified",Jamaica,Caribbean,Savannah,Savannah,Mainland North America, ,USA, , , , , , , , , , , , , , , ,McMillin, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,years 1796-1800,years 1791-1800,years 1776-1800,1700, , , , ,Selected
106843,1804,Brig,Jason,"Palmer, Henry",2,Gulf coast, , ,New Orleans,1, , , ,1,Sold slaves in Americas - subsequent fate unknown,Slaves disembarked Americas,Not captured,Delivered slaves for original owners, , , , , , , , , ,Gulf coast, , ,Jamaica, , , , , , , , , , , , , ,16,5,1804, , , , , , , , ,5/16/1804, , , , , , , , ,"Jamaica, port unspecified","Jamaica, port unspecified",Jamaica,Caribbean,New Orleans,New Orleans,Mainland North America, ,USA, , , , , , , , , , , , , , , ,McMillin, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,years 1801-05,years 1801-10,years 1801-25,1800, , , , ,Selected
106844,1804,Schooner,Two Friends,"Larosa, P",123,Gulf coast, , ,New Orleans,120, , , ,120,Sold slaves in Americas - subsequent fate unknown,Slaves disembarked Americas,Not captured,Delivered slaves for original owners, , , , , , , , , ,Gulf coast, , ,Jamaica, , , , , , , , , , , , , ,29,8,1804, , , , , , , , ,8/29/1804, , , , , , , , ,"Jamaica, port unspecified","Jamaica, port unspecified",Jamaica,Caribbean,New Orleans,New Orleans,Mainland North America, ,USA, , , , , , , , , , , , , , , ,McMillin, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,years 1801-05,years 1801-10,years 1801-25,1800, , , , ,Selected
106845,1804,Brig,Neptune,"Capauze, J",42,Gulf coast, , ,New Orleans,41, , , ,41,Sold slaves in Americas - subsequent fate unknown,Slaves disembarked Americas,Not captured,Delivered slaves for original owners, , , , , , , , , ,Gulf coast, , ,Jamaica, , , , , , , , , , , , , ,24,11,1804, , , , , , , , ,11/24/1804, , , , , , , , ,"Jamaica, port unspecified","Jamaica, port unspecified",Jamaica,Caribbean,New Orleans,New Orleans,Mainland North America, ,USA, , , , , , , , , , , , , , , ,McMillin, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,years 1801-05,years 1801-10,years 1801-25,1800, , , , ,Selected
106848,1804,Schooner,Nancy,Belhome,40,Gulf coast, , ,New Orleans, , , , ,39,Sold slaves in Americas - subsequent fate unknown,Slaves disembarked Americas,Not captured,Delivered slaves for original owners, , , , , ,"Denmark, port unspecified", , , ,Gulf coast, , ,Jamaica, ,Denmark, , , , , , , , , , , ,19,5,1804, , , , , , , , ,5/19/1804, , , , , , , , ,Kingston (Jamaica),Kingston (Jamaica),Jamaica,Caribbean,New Orleans,New Orleans,Mainland North America, ,Denmark / Baltic, , , , , , , , , , , , , , , ,McMillin, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,years 1801-05,years 1801-10,years 1801-25,1800, , , , ,Selected
106895,1807,Schooner,Brother and Sister,Nautre,40,South Carolina, , ,Charleston,39, , , ,39,Sold slaves in Americas - subsequent fate unknown,Slaves disembarked Americas,Not captured,Delivered slaves for original owners, , , , , , , , , ,South Carolina, , ,Jamaica, , , , , , , , , , , , , ,6,10,1807, , , , , , , , ,10/6/1807, , , , , , , , ,Kingston (Jamaica),Kingston (Jamaica),Jamaica,Caribbean,Charleston,Charleston,Mainland North America, ,USA, , , , , , , , , , , , , , , ,"CharlestonCourier, October 6, 1807.",McMillin, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,years 1806-10,years 1801-10,years 1801-25,1800, , , , ,Selected
106911,1810,Brig,Alexandria, ,130,Gulf coast, , ,New Orleans,127, , , ,127,Captured by United States with slaves,Slaves disembarked Americas,US,Original goal thwarted (human agency), , , , , ,"Great Britain, port unspecified", , , ,Gulf coast, , ,Jamaica, ,Great Britain, , , , , , , , , , , , ,1,1810, , , , , , , , , , , , , , , , , ,"Jamaica, port unspecified","Jamaica, port unspecified",Jamaica,Caribbean,New Orleans,New Orleans,Mainland North America, ,Great Britain, , , , , , , , , , , , , , , ,McMillin, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,years 1806-10,years 1801-10,years 1801-25,1800, , , , ,Selected
106959,1744,Sloop,Sea Flower,"Mayo, James",4,North Carolina,4,"North Carolina, port unspecified", , , , , ,4,"Departed an American port with slaves, subsequent fate unknown",Slaves disembarked Americas,Not captured,Delivered slaves for original owners, , , , ,New England,Boston,1738,1743,North Carolina, , , ,Jamaica, ,Massachusetts,Other North America, , , , , ,5, , , , , , , , , , , , , , ,4/21/1744, , , ,21,4,1744, , , ,"Jamaica, port unspecified","Jamaica, port unspecified",Jamaica,Caribbean, ,"North Carolina, port unspecified",Mainland North America,Great Britain,Great Britain, , , ,"Minot, Stephen Jr.*", , , , , , , , , , , ,"Minchinton, 30","CO 142/15, 45", , , ,35, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,years 1741-45,years 1741-50,years 1726-50,1700, , , , ,Selected
106981,1767,Sloop,Cacillia,"Willson, Andrew",9,North Carolina,9,"North Carolina, port unspecified", , , , , ,9,"Departed an American port with slaves, subsequent fate unknown",Slaves disembarked Americas,Not captured,Delivered slaves for original owners, , , , ,Prize (unknown place),Savanna la Mar (Jamaica), ,1766,North Carolina, , , ,Jamaica, ,Jamaica,Non-geographical, , , , , ,6, , , , , , , , , , , , , , ,7/17/1767, , , ,17,7,1767, , ,0,Savanna la Mar (Jamaica),Savanna la Mar (Jamaica),Jamaica,Caribbean, ,"North Carolina, port unspecified",Mainland North America,Great Britain,Great Britain, , , ,"Smith, Henry*", , , , , , , , , , , ,"CO 142/17, 57","Minchinton, 36", , , ,40, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,years 1766-70,years 1761-70,years 1751-75,1700, , , , ,Selected
106982,1768,Brig,Ruby,"Nelson, Robert",10,North Carolina,10,"North Carolina, port unspecified", , , , , ,10,"Departed an American port with slaves, subsequent fate unknown",Slaves disembarked Americas,Not captured,Delivered slaves for original owners, , , , ,"North Carolina, port unspecified",Roanoke,1767,1767,North Carolina, , , ,Jamaica, ,North Carolina,North Carolina, , , , , ,8, , , , , , , , , , , , , , ,9/22/1768, , , ,22,9,1768, , ,0,Kingston (Jamaica),Kingston (Jamaica),Jamaica,Caribbean, ,"North Carolina, port unspecified",Mainland North America,Great Britain,Great Britain, , , ,"Nelson, Robert*", , , , , , , , , , , ,"CO 142/17, 104","Minchinton, 37", , , ,90, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,years 1766-70,years 1761-70,years 1751-75,1700, , , , ,Selected
106984,1771,Sloop,Elizabeth,"Righton, John",4,North Carolina, , ,Roanoke,3, , , ,3,Sold slaves in Americas - subsequent fate unknown,Slaves disembarked Americas,Not captured,Delivered slaves for original owners, , , , ,"Virginia, port unspecified",Edenton,1768,1770, ,North Carolina, , ,Jamaica, ,North Carolina,Virginia, , , , , , ,4, , , ,8,6,1771, , , , , , , , ,6/8/1771, , , , , , , , ,"Jamaica, port unspecified","Jamaica, port unspecified",Jamaica,Caribbean,Roanoke,Roanoke,Mainland North America,Great Britain,Great Britain, , , ,"Davison, John","Blair, George", , , , , , , , , , ,"Minchinton, 39", , , , ,25, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,years 1771-75,years 1771-1780,years 1751-75,1700, , , , ,Selected
106989,1772,Brig,Relfe,"Dunlop, John",25,North Carolina, , ,Roanoke,24, , , ,24,Sold slaves in Americas - subsequent fate unknown,Slaves disembarked Americas,Not captured,Delivered slaves for original owners, , , , ,"North Carolina, port unspecified",Roanoke,1768,1768, ,North Carolina, , ,Jamaica, ,North Carolina,North Carolina, , , , , , ,10, , , ,18,5,1772, , , , , , , , ,5/18/1772, , , , , , , , ,"Jamaica, port unspecified","Jamaica, port unspecified",Jamaica,Caribbean,Roanoke,Roanoke,Mainland North America,Great Britain,Great Britain, , , ,"Mackwright, Thomas", , , , , , , , , , , ,"Minchinton, 39", , , , ,90, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,years 1771-75,years 1771-1780,years 1751-75,1700, , , , ,Selected
106990,1772, ,George,"Greene, Peleg",5,North Carolina, , ,New Bern,4, , , ,4,Sold slaves in Americas - subsequent fate unknown,Slaves disembarked Americas,Not captured,Delivered slaves for original owners, , , , , , , , , ,North Carolina, , ,Jamaica, , , , , , , , , , , , , ,27,8,1772, , , , , , , , ,8/27/1772, , , , , , , , ,"Jamaica, port unspecified","Jamaica, port unspecified",Jamaica,Caribbean,New Bern,New Bern,Mainland North America, ,Great Britain, , , ,"Lopez, Aaron", , , , , , , , , , , ,"Minchinton, 39", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,years 1771-75,years 1771-1780,years 1751-75,1700, , , , ,Selected
106993,1773,Brig,Ann and Elizabeth,"Langley, Benjamin",7,North Carolina, , ,Roanoke,6, , , ,6,Sold slaves in Americas - subsequent fate unknown,Slaves disembarked Americas,Not captured,Delivered slaves for original owners, , , , ,"Maryland, port unspecified",Kingston (Jamaica),1770,1772, ,North Carolina, , ,Jamaica, ,Jamaica,Maryland, , , , , , ,6, , , ,5,5,1773, , , , , , , , ,5/5/1773, , , , , , , ,0,"Jamaica, port unspecified","Jamaica, port unspecified",Jamaica,Caribbean,Roanoke,Roanoke,Mainland North America,Great Britain,Great Britain, , , ,"Adams, Daniel", , , , , , , , , , , ,"Minchinton, 40", , , , ,50, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,years 1771-75,years 1771-1780,years 1751-75,1700, , , , ,Selected
106994,1773,Sloop,Francis,"Righton, John",8,North Carolina, , ,Roanoke,7, , , ,7,Sold slaves in Americas - subsequent fate unknown,Slaves disembarked Americas,Not captured,Delivered slaves for original owners, , , , ,"North Carolina, port unspecified",Roanoke,1772,1772, ,North Carolina, , ,Jamaica, ,North Carolina,North Carolina, , , , , , ,5, , , ,22,5,1773, , , , , , , , ,5/22/1773, , , , , , , ,0,"Jamaica, port unspecified","Jamaica, port unspecified",Jamaica,Caribbean,Roanoke,Roanoke,Mainland North America,Great Britain,Great Britain, , , ,"Little, Andrew","Lowther, William", , , , , , , , , , ,"Minchinton, 40", , , , ,40, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,years 1771-75,years 1771-1780,years 1751-75,1700, , , , ,Selected
